Date,Open,High,Low,Close,Volume,Market Cap
2020-12-12,18051.32,18919.55,18046.04,18803.66,21752580802.0,349170613899.0
2020-12-11,18263.93,18268.45,17619.53,18058.9,27919640985.0,335326168919.0
2020-12-10,18553.3,18553.3,17957.07,18264.99,25547132265.0,339136939586.0
2020-12-09,18320.88,18626.29,17935.55,18553.92,34420373071.0,344486483494.0
2020-12-08,19191.53,19283.48,18269.95,18321.14,31692288756.0,340148764252.0
2020-12-07,19343.13,19411.83,18931.14,19191.63,26896357742.0,356293229783.0
2020-12-06,19154.18,19390.5,18897.89,19345.12,25293775714.0,359123541247.0
2020-12-05,18698.39,19160.45,18590.19,19154.23,27242455064.0,355563938256.0
2020-12-04,19446.97,19511.4,18697.19,18699.77,33872388058.0,347111351136.0
2020-12-03,19205.93,19566.19,18925.78,19445.4,31930317405.0,360933936017.0
2020-12-02,18801.74,19308.33,18347.72,19201.09,37387697139.0,356381007571.0
2020-12-01,19633.77,19845.98,18321.92,18803.0,49633658712.0,348976597318.0
2020-11-30,18178.32,19749.26,18178.32,19625.84,47728480399.0,364229729426.0
2020-11-29,17719.63,18283.63,17559.12,18177.48,31133957704.0,337336592123.0
2020-11-28,17112.93,17853.94,16910.65,17717.42,32601040734.0,328782832212.0
2020-11-27,17153.91,17445.02,16526.42,17108.4,38886494645.0,317464460530.0
2020-11-26,18729.84,18866.29,16351.03,17150.62,61396835737.0,318231964319.0
2020-11-25,19104.41,19390.97,18581.15,18732.12,43710357371.0,347558803507.0
2020-11-24,18365.01,19348.27,18128.66,19107.46,51469565009.0,354504361032.0
2020-11-23,18370.02,18711.43,18000.8,18364.12,42741112308.0,340698070308.0
2020-11-22,18642.23,18688.97,17671.38,18370.0,41280434226.0,340790183317.0
2020-11-21,18621.32,18936.62,18444.36,18642.23,39650210707.0,345819234185.0
2020-11-20,17817.08,18773.23,17765.8,18621.31,36992873940.0,345411881099.0
2020-11-19,17803.86,18119.55,17382.55,17817.09,36985055355.0,330475167134.0
2020-11-18,17645.19,18393.95,17352.91,17804.01,49064800278.0,330218014062.0
2020-11-17,16685.69,17782.92,16564.54,17645.41,39006849170.0,327257094857.0
2020-11-16,15955.58,16816.18,15880.71,16716.11,31526766675.0,309889423249.0
2020-11-15,16068.14,16123.11,15793.53,15955.59,23653867583.0,295790551598.0
2020-11-14,16317.81,16317.81,15749.19,16068.14,27481710135.0,297877068423.0
2020-11-13,16276.44,16463.18,15992.15,16317.81,31599492172.0,302505533181.0
2020-11-12,15701.3,16305.0,15534.77,16276.34,34175758344.0,301736853825.0
2020-11-11,15290.91,15916.26,15290.01,15701.34,29772374934.0,291077214052.0
2020-11-10,15332.35,15450.33,15124.96,15290.9,25574938143.0,283468380961.0
2020-11-09,15479.6,15785.14,14865.53,15332.32,34149115566.0,284236108837.0
2020-11-08,14833.75,15637.32,14744.11,15479.57,26632075029.0,286955182899.0
2020-11-07,15565.88,15737.1,14423.2,14833.75,35024953706.0,274970333140.0
2020-11-06,15579.73,15903.44,15226.84,15565.88,39837841971.0,288526920959.0
2020-11-05,14133.73,15706.4,14102.09,15579.85,40856321439.0,288771509681.0
2020-11-04,13950.49,14218.77,13580.47,14133.71,35116364962.0,261954213176.0
2020-11-03,13550.45,13984.98,13325.44,13950.3,29869951617.0,258541441764.0
2020-11-02,13737.03,13808.32,13243.16,13550.49,30771455468.0,251119864445.0
2020-11-01,13780.99,13862.03,13628.38,13737.11,24453857900.0,254569759063.0
2020-10-31,13546.53,14028.21,13457.53,13780.99,30306464719.0,255372071116.0
2020-10-30,13437.87,13651.52,13136.2,13546.52,30581485201.0,251018154920.0
2020-10-29,13271.3,13612.05,12980.06,13437.88,56499499598.0,248995322466.0
2020-10-28,13654.21,13837.7,12932.25,13271.29,35867318895.0,245899824465.0
2020-10-27,13075.24,13759.67,13060.84,13654.22,33749878156.0,252985946390.0
2020-10-26,13031.2,13225.3,12822.38,13075.25,29461458313.0,242250997936.0
2020-10-25,13108.06,13329.18,12910.06,13031.17,24406920575.0,241425217440.0
